Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season
F1,31/10/10,00:00,Montpellier,Paris SG,1.0,1.0,D,1.0,1.0,D,17.0,15.0,5.0,3.0,2.0,4.0,23.0,17.0,2.0,2.0,0.0,0.0,
F1,31/10/10,00:00,Valenciennes,Lille,1.0,1.0,D,0.0,0.0,D,10.0,18.0,3.0,3.0,4.0,7.0,16.0,15.0,3.0,1.0,0.0,0.0,
F1,02/11/10,00:00,Monaco,Bordeaux,2.0,2.0,D,0.0,1.0,A,16.0,12.0,7.0,4.0,4.0,5.0,16.0,15.0,2.0,3.0,1.0,0.0,
F1,06/11/10,00:00,Arles,Caen,3.0,2.0,H,2.0,1.0,H,14.0,13.0,9.0,5.0,5.0,8.0,21.0,15.0,1.0,2.0,0.0,0.0,
F1,06/11/10,00:00,Bordeaux,Valenciennes,1.0,1.0,D,0.0,1.0,A,28.0,7.0,8.0,4.0,7.0,3.0,9.0,16.0,3.0,4.0,0.0,0.0,
F1,06/11/10,00:00,Rennes,Lyon,1.0,1.0,D,1.0,0.0,H,10.0,12.0,5.0,5.0,5.0,5.0,20.0,20.0,0.0,2.0,0.0,0.0,
F1,06/11/10,00:00,Sochaux,Auxerre,1.0,1.0,D,0.0,1.0,A,24.0,14.0,7.0,5.0,10.0,5.0,15.0,14.0,2.0,1.0,0.0,0.0,
F1,06/11/10,00:00,St Etienne,Lorient,1.0,2.0,A,0.0,1.0,A,11.0,21.0,5.0,7.0,4.0,8.0,20.0,6.0,3.0,0.0,0.0,0.0,
F1,07/11/10,00:00,Lens,Montpellier,2.0,0.0,H,2.0,0.0,H,8.0,16.0,5.0,3.0,2.0,5.0,26.0,19.0,2.0,2.0,0.0,0.0,
F1,07/11/10,00:00,Lille,Brest,3.0,1.0,H,1.0,0.0,H,20.0,15.0,7.0,4.0,4.0,2.0,13.0,13.0,1.0,2.0,0.0,0.0,
F1,07/11/10,00:00,Nancy,Monaco,0.0,4.0,A,0.0,0.0,D,16.0,11.0,5.0,4.0,4.0,5.0,15.0,16.0,0.0,2.0,0.0,0.0,
F1,07/11/10,00:00,Nice,Toulouse,2.0,0.0,H,1.0,0.0,H,6.0,12.0,3.0,3.0,3.0,5.0,13.0,25.0,2.0,2.0,0.0,1.0,
F1,07/11/10,00:00,Paris SG,Marseille,2.0,1.0,H,2.0,1.0,H,11.0,15.0,6.0,5.0,5.0,4.0,18.0,16.0,3.0,3.0,0.0,0.0,
F1,13/11/10,00:00,Bordeaux,Nancy,2.0,1.0,H,1.0,0.0,H,10.0,8.0,4.0,2.0,5.0,3.0,22.0,15.0,2.0,3.0,0.0,0.0,
F1,13/11/10,00:00,Brest,Sochaux,1.0,1.0,D,1.0,1.0,D,18.0,10.0,5.0,3.0,12.0,3.0,11.0,15.0,1.0,2.0,0.0,0.0,
F1,13/11/10,00:00,Caen,Lille,2.0,5.0,A,1.0,3.0,A,11.0,22.0,5.0,8.0,1.0,0.0,15.0,18.0,3.0,1.0,0.0,0.0,
F1,13/11/10,00:00,Marseille,Lens,1.0,1.0,D,1.0,0.0,H,19.0,7.0,5.0,2.0,4.0,5.0,22.0,13.0,1.0,2.0,0.0,0.0,
F1,13/11/10,00:00,Monaco,Arles,0.0,0.0,D,0.0,0.0,D,16.0,9.0,4.0,4.0,9.0,5.0,10.0,19.0,0.0,1.0,0.0,0.0,
F1,13/11/10,00:00,Montpellier,Toulouse,1.0,0.0,H,1.0,0.0,H,13.0,6.0,5.0,3.0,4.0,4.0,14.0,27.0,1.0,1.0,0.0,0.0,
F1,14/11/10,00:00,Auxerre,Rennes,2.0,1.0,H,0.0,0.0,D,12.0,12.0,5.0,5.0,5.0,2.0,18.0,11.0,4.0,1.0,0.0,0.0,
F1,14/11/10,00:00,Lorient,Paris SG,1.0,1.0,D,1.0,0.0,H,13.0,19.0,4.0,8.0,7.0,9.0,8.0,21.0,2.0,2.0,0.0,0.0,
F1,14/11/10,00:00,Lyon,Nice,1.0,0.0,H,1.0,0.0,H,19.0,1.0,6.0,0.0,7.0,1.0,12.0,17.0,1.0,3.0,0.0,0.0,
F1,20/11/10,00:00,Nancy,Valenciennes,2.0,0.0,H,1.0,0.0,H,25.0,7.0,10.0,0.0,10.0,3.0,15.0,18.0,2.0,4.0,0.0,0.0,
F1,20/11/10,00:00,Nice,Montpellier,0.0,1.0,A,0.0,0.0,D,9.0,14.0,3.0,10.0,3.0,5.0,12.0,17.0,2.0,3.0,0.0,0.0,
F1,20/11/10,00:00,Paris SG,Caen,2.0,1.0,H,1.0,0.0,H,11.0,13.0,3.0,1.0,6.0,5.0,14.0,13.0,2.0,2.0,0.0,0.0,
F1,20/11/10,00:00,Rennes,Brest,2.0,1.0,H,1.0,0.0,H,17.0,7.0,6.0,2.0,3.0,5.0,14.0,12.0,1.0,2.0,0.0,0.0,
F1,20/11/10,00:00,Sochaux,Lorient,2.0,0.0,H,1.0,0.0,H,11.0,6.0,4.0,2.0,4.0,5.0,14.0,10.0,0.0,0.0,0.0,0.0,
F1,20/11/10,00:00,St Etienne,Auxerre,1.0,1.0,D,0.0,1.0,A,13.0,13.0,1.0,4.0,6.0,3.0,20.0,17.0,1.0,1.0,0.0,0.0,
F1,20/11/10,00:00,Toulouse,Marseille,0.0,1.0,A,0.0,0.0,D,11.0,20.0,1.0,4.0,3.0,3.0,19.0,18.0,0.0,1.0,0.0,0.0,
F1,21/11/10,00:00,Arles,Bordeaux,2.0,4.0,A,1.0,2.0,A,9.0,30.0,5.0,9.0,6.0,8.0,19.0,11.0,3.0,1.0,1.0,0.0,
F1,21/11/10,00:00,Lens,Lyon,1.0,3.0,A,1.0,0.0,H,3.0,11.0,1.0,5.0,4.0,2.0,12.0,15.0,2.0,1.0,0.0,0.0,
F1,21/11/10,00:00,Lille,Monaco,2.0,1.0,H,1.0,0.0,H,23.0,3.0,8.0,2.0,12.0,3.0,9.0,13.0,0.0,2.0,0.0,0.0,
F1,27/11/10,00:00,Bordeaux,Lille,1.0,1.0,D,0.0,1.0,A,7.0,8.0,1.0,2.0,3.0,8.0,20.0,15.0,1.0,1.0,0.0,0.0,
F1,27/11/10,00:00,Lorient,Rennes,2.0,0.0,H,0.0,0.0,D,15.0,4.0,8.0,1.0,6.0,2.0,15.0,18.0,2.0,1.0,0.0,0.0,
F1,27/11/10,00:00,Marseille,Montpellier,4.0,0.0,H,2.0,0.0,H,10.0,16.0,6.0,3.0,1.0,7.0,15.0,15.0,1.0,2.0,0.0,0.0,
F1,27/11/10,00:00,Monaco,Nice,1.0,1.0,D,0.0,0.0,D,14.0,8.0,2.0,2.0,6.0,1.0,29.0,12.0,0.0,3.0,0.0,1.0,
F1,27/11/10,00:00,Nancy,St Etienne,1.0,1.0,D,0.0,0.0,D,18.0,15.0,4.0,6.0,5.0,3.0,16.0,20.0,0.0,2.0,0.0,0.0,
F1,27/11/10,00:00,Valenciennes,Arles,3.0,0.0,H,1.0,0.0,H,20.0,10.0,8.0,1.0,6.0,9.0,24.0,21.0,3.0,3.0,0.0,0.0,
F1,28/11/10,00:00,Auxerre,Toulouse,1.0,2.0,A,0.0,2.0,A,13.0,9.0,3.0,5.0,3.0,2.0,18.0,16.0,3.0,2.0,0.0,0.0,
F1,28/11/10,00:00,Caen,Sochaux,0.0,3.0,A,0.0,1.0,A,19.0,9.0,4.0,4.0,8.0,5.0,15.0,12.0,1.0,2.0,0.0,0.0,
F1,28/11/10,00:00,Lyon,Paris SG,2.0,2.0,D,0.0,0.0,D,27.0,11.0,5.0,4.0,11.0,4.0,15.0,8.0,2.0,1.0,1.0,0.0,
