Season,Team,Rank,Points,Strength_Rank_Based,Pythagorean_Exp,Avg_Goals_Scored,Avg_Goals_Conceded,Home_Dependency
2015-2016,Toulouse,17,40,0.19047619047619047,0.400990099009901,1.1842105263157894,1.4473684210526316,0.625
2015-2016,Reims,18,39,0.1428571428571429,0.3733847637415622,1.1578947368421053,1.5,0.6666666666666666
2015-2016,Ajaccio GFCO,19,37,0.09523809523809523,0.2892457215296852,0.9736842105263158,1.5263157894736843,0.5945945945945946
2015-2016,Troyes,20,18,0.04761904761904767,0.10217646292193405,0.7368421052631579,2.1842105263157894,0.5555555555555556
2016-2017,Monaco,1,95,0.9523809523809523,0.9225624496373892,2.8157894736842106,0.8157894736842105,0.5473684210526316
2016-2017,Paris SG,2,87,0.9047619047619048,0.9043055920189026,2.1842105263157894,0.7105263157894737,0.5172413793103449
2016-2017,Nice,3,78,0.8571428571428572,0.7538461538461538,1.6578947368421053,0.9473684210526315,0.5897435897435898
2016-2017,Lyon,4,67,0.8095238095238095,0.7352941176470589,2.1052631578947367,1.263157894736842,0.5522388059701493
2016-2017,Marseille,5,62,0.7619047619047619,0.659026369168357,1.5,1.0789473684210527,0.6935483870967742
2016-2017,Bordeaux,6,59,0.7142857142857143,0.603048518677544,1.394736842105263,1.131578947368421,0.559322033898305
2016-2017,Nantes,7,51,0.6666666666666667,0.354295837023915,1.0526315789473684,1.4210526315789473,0.5490196078431373
2016-2017,Guingamp,8,50,0.6190476190476191,0.4296446700507614,1.2105263157894737,1.394736842105263,0.78
2016-2017,Rennes,9,50,0.5714285714285714,0.4235294117647059,0.9473684210526315,1.105263157894737,0.72
2016-2017,St Etienne,10,50,0.5238095238095238,0.4879535558780842,1.0789473684210527,1.105263157894737,0.6
2016-2017,Angers,11,46,0.47619047619047616,0.39990002499375155,1.0526315789473684,1.2894736842105263,0.6304347826086957
2016-2017,Lille,12,46,0.4285714285714286,0.420057757941717,1.0526315789473684,1.236842105263158,0.5217391304347826
2016-2017,Toulouse,13,44,0.38095238095238093,0.4488524590163934,0.9736842105263158,1.0789473684210527,0.6818181818181818
2016-2017,Metz,14,43,0.33333333333333337,0.22684563758389262,1.0263157894736843,1.894736842105263,0.6511627906976745
2016-2017,Montpellier,15,39,0.2857142857142857,0.34594594594594597,1.263157894736842,1.736842105263158,0.7435897435897436
2016-2017,Caen,16,37,0.23809523809523814,0.23474008331823945,0.9473684210526315,1.7105263157894737,0.6216216216216216
2016-2017,Dijon,17,37,0.19047619047619047,0.3861313868613139,1.2105263157894737,1.5263157894736843,0.7297297297297297
2016-2017,Lorient,18,36,0.1428571428571429,0.2832065535400819,1.1578947368421053,1.8421052631578947,0.6944444444444444
2016-2017,Nancy,19,35,0.09523809523809523,0.2372355430183357,0.7631578947368421,1.368421052631579,0.6857142857142857
2016-2017,Bastia,20,34,0.04761904761904767,0.20562347188264057,0.7631578947368421,1.5,0.7058823529411765
2017-2018,Paris SG,1,93,0.9523809523809523,0.9327469012395042,2.8421052631578947,0.7631578947368421,0.5591397849462365
2017-2018,Monaco,2,80,0.9047619047619048,0.7810810810810811,2.236842105263158,1.1842105263157894,0.6
2017-2018,Lyon,3,78,0.8571428571428572,0.8036738160968359,2.289473684210526,1.131578947368421,0.5256410256410257
2017-2018,Marseille,4,77,0.8095238095238095,0.7434080613311651,2.1052631578947367,1.236842105263158,0.5324675324675324
2017-2018,Rennes,5,58,0.7619047619047619,0.563570784490532,1.3157894736842106,1.1578947368421053,0.4827586206896552
2017-2018,Bordeaux,6,55,0.7142857142857143,0.5493839233326814,1.394736842105263,1.263157894736842,0.5636363636363636
2017-2018,St Etienne,7,55,0.6666666666666667,0.46910172011042683,1.236842105263158,1.3157894736842106,0.5636363636363636
2017-2018,Nice,8,54,0.6190476190476191,0.5095229457645565,1.394736842105263,1.368421052631579,0.6111111111111112
2017-2018,Nantes,9,52,0.5714285714285714,0.43533758817601614,0.9473684210526315,1.0789473684210527,0.5384615384615384
2017-2018,Montpellier,10,51,0.5238095238095238,0.5433962264150943,0.9473684210526315,0.868421052631579,0.47058823529411764
2017-2018,Dijon,11,48,0.47619047619047616,0.3621019870720613,1.4473684210526316,1.9210526315789473,0.75
2017-2018,Guingamp,12,47,0.4285714285714286,0.3982713915298185,1.263157894736842,1.5526315789473684,0.6595744680851063
2017-2018,Amiens,13,45,0.38095238095238093,0.43696137887009256,0.9736842105263158,1.105263157894737,0.6444444444444445
2017-2018,Angers,14,41,0.33333333333333337,0.39480752014324083,1.105263157894737,1.368421052631579,0.5365853658536586
2017-2018,Caen,15,38,0.2857142857142857,0.21235071366152053,0.7105263157894737,1.368421052631579,0.6842105263157895
2017-2018,Lille,16,38,0.23809523809523814,0.27244732576985414,1.0789473684210527,1.763157894736842,0.631578947368421
2017-2018,Strasbourg,17,38,0.19047619047619047,0.3013229571984436,1.1578947368421053,1.763157894736842,0.7105263157894737
2017-2018,Toulouse,18,37,0.1428571428571429,0.3311926605504587,1.0,1.4210526315789473,0.7027027027027027
2017-2018,Troyes,19,33,0.09523809523809523,0.22730299667036627,0.8421052631578947,1.5526315789473684,0.7272727272727273
2017-2018,Metz,20,26,0.04761904761904767,0.16676283900750144,0.8947368421052632,2.0,0.5
2018-2019,Paris SG,1,91,0.9523809523809523,0.9,2.763157894736842,0.9210526315789473,0.5824175824175825
2018-2019,Lille,2,75,0.9047619047619048,0.8093821109749694,1.7894736842105263,0.868421052631579,0.5733333333333334
2018-2019,Lyon,3,72,0.8571428571428572,0.6892671261780842,1.8421052631578947,1.236842105263158,0.5555555555555556
2018-2019,St Etienne,4,66,0.8095238095238095,0.6743510267338241,1.5526315789473684,1.0789473684210527,0.6212121212121212
2018-2019,Marseille,5,61,0.7619047619047619,0.5710659898477157,1.5789473684210527,1.368421052631579,0.6065573770491803
2018-2019,Montpellier,6,59,0.7142857142857143,0.6142575989503608,1.394736842105263,1.105263157894737,0.5423728813559322
2018-2019,Nice,7,56,0.6666666666666667,0.4235294117647059,0.7894736842105263,0.9210526315789473,0.6071428571428571
2018-2019,Reims,8,55,0.6190476190476191,0.46301369863013697,1.0263157894736843,1.105263157894737,0.5636363636363636
2018-2019,Nimes,9,53,0.5714285714285714,0.49130500529260546,1.5,1.5263157894736843,0.6037735849056604
2018-2019,Rennes,10,52,0.5238095238095238,0.5280153604468494,1.4473684210526316,1.368421052631579,0.5961538461538461
2018-2019,Strasbourg,11,49,0.47619047619047616,0.5935074100211715,1.5263157894736843,1.263157894736842,0.5306122448979592
2018-2019,Nantes,12,48,0.4285714285714286,0.5,1.263157894736842,1.263157894736842,0.6458333333333334
2018-2019,Angers,13,46,0.38095238095238093,0.4463915148720314,1.1578947368421053,1.2894736842105263,0.5217391304347826
2018-2019,Bordeaux,14,41,0.33333333333333337,0.3958904109589041,0.8947368421052632,1.105263157894737,0.6585365853658537
2018-2019,Amiens,15,38,0.2857142857142857,0.2622100954979536,0.8157894736842105,1.368421052631579,0.6842105263157895
2018-2019,Toulouse,16,38,0.23809523809523814,0.27380420205632544,0.9210526315789473,1.5,0.5526315789473685
2018-2019,Monaco,17,36,0.19047619047619047,0.3076923076923077,1.0,1.5,0.5
2018-2019,Dijon,18,34,0.1428571428571429,0.21069940802455603,0.8157894736842105,1.5789473684210527,0.6470588235294118
2018-2019,Caen,19,33,0.09523809523809523,0.22384881554431726,0.7631578947368421,1.4210526315789473,0.5151515151515151
2018-2019,Guingamp,20,27,0.04761904761904767,0.14497041420118342,0.7368421052631579,1.7894736842105263,0.5925925925925926
2019-2020,Paris SG,1,68,0.9523809523809523,0.9071117561683599,2.7777777777777777,0.8888888888888888,0.5441176470588235
2019-2020,Marseille,2,56,0.9047619047619048,0.6665344964314036,1.4642857142857142,1.0357142857142858,0.5
2019-2020,Rennes,3,50,0.8571428571428572,0.7148514851485148,1.3571428571428572,0.8571428571428571,0.58
2019-2020,Lille,4,49,0.8095238095238095,0.6269191402251791,1.25,0.9642857142857143,0.7142857142857143
2019-2020,Nice,5,41,0.7619047619047619,0.53792,1.4642857142857142,1.3571428571428572,0.6829268292682927
2019-2020,Reims,6,41,0.7142857142857143,0.6051924798567592,0.9285714285714286,0.75,0.5365853658536586
2019-2020,Lyon,7,40,0.6666666666666667,0.7075812274368231,1.5,0.9642857142857143,0.475
2019-2020,Monaco,8,40,0.6190476190476191,0.5,1.5714285714285714,1.5714285714285714,0.65
2019-2020,Montpellier,9,40,0.5714285714285714,0.5144897102057959,1.25,1.2142857142857142,0.8
2019-2020,Angers,10,39,0.5238095238095238,0.41857981847303793,1.0,1.1785714285714286,0.6923076923076923
2019-2020,Strasbourg,11,38,0.47619047619047616,0.5,1.1851851851851851,1.1851851851851851,0.631578947368421
